UserID,UnderlyingId,OptionSeriesId,PriceLevel1,PriceLevel2,PriceLevel3,CalcDayType,YearTotalDay,CalcTimeType,RiskFreeRate,Dividend,PricingEngine,ExerciseType,VolTolerance,VolType
m12,m1805,m1805,1,0,0,0,252,0,0.030,0.000000,7,0,0.000000,1
m12,m1803,m1803,1,0,0,0,252,0,0.030,0.000000,7,0,0.000000,1
m12,m1801,m1801,1,0,0,0,252,0,0.045,0.000000,0,0,0.000000,1
m12,m1807,m1807,1,0,0,0,252,0,0.045,0.000000,0,0,0.000000,1
m12,m1808,m1808,1,0,0,0,252,0,0.045,0.000000,0,0,0.000000,1
m12,m1809,m1809,1,0,0,0,252,0,0.045,0.000000,0,0,0.000000,1
m12,m1811,m1811,1,0,0,0,252,0,0.045,0.000000,0,0,0.000000,1
m12,m1812,m1812,1,0,0,0,252,0,0.045,0.000000,0,0,0.000000,1
m12,m1901,m1901,1,0,0,0,252,0,0.045,0.000000,0,0,0.000000,1
m12,SR805,SR805,1,0,0,0,252,0,0.035,0.000000,7,0,0.000000,1
m12,SR807,SR807,1,0,0,0,252,0,0.035,0.000000,7,0,0.000000,1
m12,SR809,SR809,1,0,0,0,252,0,0.035,0.000000,7,0,0.000000,1
m12,SR811,SR811,1,0,0,0,252,0,0.035,0.000000,7,0,0.000000,1
m12,SR901,SR901,1,0,0,0,252,0,0.035,0.000000,7,0,0.000000,1
m12,SR903,SR903,1,0,0,0,252,0,0.035,0.000000,7,0,0.000000,1
m12,SR905,SR905,1,0,0,0,252,0,0.035,0.000000,7,0,0.000000,1
m12,SR907,SR907,1,0,0,0,252,0,0.035,0.000000,7,0,0.000000,1
m12,TA803,TA803,1,0,0,0,252,0,0.045,0.000000,7,0,0.000000,1
m12,TA805,TA805,1,0,0,0,252,0,0.045,0.000000,7,0,0.000000,1
m12,TA807,TA807,1,0,0,0,252,0,0.045,0.000000,7,0,0.000000,1
m12,TA809,TA809,1,0,0,0,252,0,0.045,0.000000,7,0,0.000000,1
m12,TA811,TA811,1,0,0,0,252,0,0.045,0.000000,7,0,0.000000,1
m12,TA812,TA812,1,0,0,0,252,0,0.045,0.000000,7,0,0.000000,1
m12,TA903,TA903,1,0,0,0,252,0,0.045,0.000000,7,0,0.000000,1
m12,TA905,TA905,1,0,0,0,252,0,0.045,0.000000,7,0,0.000000,1
m12,IO1806,IO1806,1,0,0,0,252,0,0.03,0.000000,0,0,0.000000,1
m12,IO1808,IO1808,1,0,0,0,252,0,0.03,0.000000,0,0,0.000000,1
m12,IO1810,IO1810,1,0,0,0,252,0,0.03,0.000000,0,0,0.000000,1
m12,IO1812,IO1812,1,0,0,0,252,0,0.03,0.000000,0,0,0.000000,1
